head	rel	col	lcm	sense1	sense2	sense3	sense4	sense5	pos	text
bašta-n	... na "bašta-n"	galerie-n	v litoměřické Foto Galerii Na Baště	a1.sx	a2.s2	a3.sx	a4.sx	a5.sx	798294456	Foto-soutěže.cz vám představují fotografické výstavy portálu Fotokluby.cz.Pod tímto názvem se skrývá další výstava fotografií, kterou uspořádal v litoměřické Foto Galerii Na <Baště> místní fotograf Fanda F.
bašta-n	... na "bašta-n"	restaurace-n	restauraci Na Baště	a1.s2	a2.sx	a3.sx	a4.sx	a5.sx	8744490725	Restaurace Na <Baště>, Kutná Hora – Kaňk.
bašta-n	... na "bašta-n"	vila-n	vila na Mariánské baště	a1.s3	a2.s2	a3.sx	a4.s1	a5.sx	5073958853	kdy vozila jeho vzkazy a lístky z Lán do vily na <Baště> a zase naopak od Kramáře vzkazy Masarykovi." Vztah Masaryka a Kramáře neměl pouze rovinu politickou, ale i rovinu lidskou. "Já si myslím, že nakonec toto veliké politické i lidské drama skončilo svým způsobem takovou katarzí," uzavírá Josef Tomeš.
bašta-n	... na "bašta-n"	zahrada-n	zahrada Na Baště	a1.s3	a2.s2	a3.sx	a4.s1	a5.sx	1880802823	V horní části je to Plečnikem upravovaná zahrada Na <Baště>.
bašta-n	... of "bašta-n"	Kaddáfí-n	Kaddáfího bašty	a1.s1	a2.s2	a3.s1	a4.s1	a5.s1	12236456460	Další články k tématu: Libyjští rebelové vypracovali plán, jak vládnout po Kaddáfího pádu Povstalci obklíčili Tripolis, Kaddáfí na ně poprvé vypálil střelu Scud Pád Tripolisu by teď byl katastrofa, děsí se Západ sporů mezi rebely Tripolisem zní střelba, rebelové dobyli předměstí Kaddáfího <bašty> Rebelové dobyli Tripolis, zbývá boj o Kaddáfího rezidenci CHRONOLOGIE: Libyjská revoluce od prvních výstřelů do obléhání Kaddáfího Co čeká libyjského tyrana?
bašta-n	... of "bašta-n"	dobytí-n	dobytí bašty	a1.s3	a2.s2	a3.s3	a4.s1	a5.sx	6348270581	Na obranu města Tábora by se je určitě vzal. "Bábovky" byly odměněny třetím "placem" a časem dobytí <bašty> nepřítele 17,41.
bašta-n	... of "bašta-n"	hřeben-n	hřeben Bašt	a1.sx	a2.s2	a3.sx	a4.s1	a5.sx	4754178799	hřeben <Bašt>
bašta-n	... of "bašta-n"	zdivo-n	zdiva bašt	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	300075522	Z hradu se dochovaly jen nepatrné zbytky zdiva <bašt>, věže a západního paláce, které jsou pevně spojeny s čedičovým základem, nejasně vyznačené přístupové cesty a terasovitě upravený jižní vrchol.
bašta-n	... pod "bašta-n"	scéna-n	scéně pod baštou	a1.sx	a2.sx	a3.sx	a4.s1	a5.sx	2995184066	Dne 29. srpna 2009 uspořádala agentura Rex a Muzeum města Brna 10. šermířský festival na letní scéně Pod <baštou> na hradu Špilberk.
bašta-n	... pod "bašta-n"	ulice-n	v ulici Pod Baštou	a1.sx	a2.s2	a3.sx	a4.sx	a5.sx	10302856365	Vodorovné dopravní značení neumožňuje legální odbočení do ulice Pod <Baštami>
bašta-n	... s "bašta-n"	brána-n	brána s baštou	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	6403527000	Mohutné brány s poloválcovými <baštami> byly součástí opevnění, vybudovaného kolem města v 16. století na obranu před tureckým nebezpečím.
bašta-n	... s "bašta-n"	hrad-n	hradu s baštou	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	3716820341	Součástí přestavby byl nejspíše i vznik dolního hradu se Svatojánskou <baštou>.
bašta-n	... s "bašta-n"	hradba-n	hradby s baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	3881190824	Z celého systému opevnění se do současnosti dochovala celá hlavní hradba s 19 půlválcovými <baštami>, parkánová zeď na západě a severu, deformovaný val na jihu a rybník.
bašta-n	... s "bašta-n"	opevnění-n	opevnění s baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	1817941159	Největší zajímavostí je velmi zachovalé opevnění se dvěma <baštami> na západě.
bašta-n	... s "bašta-n"	parkán-n	parkán s baštami	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	653853544	Vidět lze část gotického hradního traktu s renesančně upravovaným křídlem, dochovanou část gotického opevnění – parkán s <baštou>, barokní zámeckou část spolu s kašnou, datovanou letopočtem 1693.
bašta-n	... s "bašta-n"	pevnost-n	pevnost se sedmi baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	4492971966	Po dalších čtyřista let rozšířili olomoučtí biskupové Hukvaldy na mohutnou pevnost s pěti dělovými <baštami>, jenž se osvědčila při blokádě Dány a dvojím obležení Švédy v posledním období třicetileté války. tWWW stránky: http://www.janackovy-hukvaldy.cz/
bašta-n	... s "bašta-n"	předhradí-n	předhradí se dvěma baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	6133016829	Obnovili pozorovací věž, přistavili gotickou kapli, u středověkého jádra hradu postavili první předhradí se dvěma <baštami>.
bašta-n	... s "bašta-n"	zeď-n	zdí s baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	933253894	Silným obranným bodem se stal kostel se zahradou obehnanou zdí s kruhovými <baštami> v rozích.
bašta-n	... u "bašta-n"	ranč-n	Ranč u Bašty ,	a1.sx	a2.s2	a3.sx	a4.sx	a5.sx	5917523564	Zajištění občerstvení a gastronomie - v prostoru kongresového centra, tak v blízkém Ranči u <Bašty>.
bašta-n	... z "bašta-n"	historka-n	Historky z ražické bašty	a1.sx	a2.sx	a3.sx	a4.sx	a5.s2	5691652790	), Kontrola nemocného (1979), Historky z Ražické <bašty> (1979), Objednaná vražda (1980), Hořké léto (1995), Jak se dělá opera (1996) a Králův šašek (1997).
bašta-n	... za "bašta-n"	ulice-n	v ulici Za Baštou	a1.sx	a2.s2	a3.sx	a4.s1	a5.sx	11899974670	- pejsek, nalezen v ulici Za <Baštou>, dne 9.2.2013 6.3.2013 odjel do nového domova do Českých Velenic
bašta-n	bašta-n and/or ...	Matyášův-j	bašta a Matyášův	a1.sx	a2.s2	a3.sx	a4.sx	a5.s2	815622954	Severně od ní se nachází hradní vrch Várhegy s královským palácem a věží Rybářské <bašty> a Matyášova chrámu, která vám zase bude připomínat francouzský Montmartr.
bašta-n	bašta-n and/or ...	bastion-n	baštami či bastiony	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	4166478590	Po drtivé nakládačce od Danů rytíři hrad mohutně opevnili, takže dnes je to nejlépe dochovaná barokní pevnost u nás se systémem dělových <bašt> a bastionů, zděnými hradními příkopy a velmi dlouhou podzemní chodbou.
