head	rel	col	lcm	sense1	sense2	sense3	sense4	sense5	sense6	sense7	sense8	sense9	sense10	pos	text
band-n	... about "band-n"	documentary-n	documentary about the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	3325020143	A documentary about the <band> is also included.
band-n	... as "band-n"	play-v	play as a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1593585998	It's slightly too long but it's the only track on the LP where they play as a <band>.
band-n	... behind "band-n"	force-n	driving force behind the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.sx	a10.s1	570407647	In recent years, Ian Matthews has been the driving force behind the <bands> much talked about live performances and most recently, Kasabian has been nominated for Best Live Band at both the Brit awards and NME awards.
band-n	... behind "band-n"	screen-n	screen behind the band .	a1.s1	a2.s1	a3.sx	a4.s1	a5.sx	a6.s1	a7.sx	a8.sx	a9.sx	a10.s1	680781652	The plate was flexed and angled by Richard, or more usually an assistant, to give a stretching, roving image on a screen behind the <band>.
band-n	... by "band-n"	album-n	album by a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	3134280146	Album was released under Interscope Records (American record label owned and operated by Universal Music Group), produced by Jerry Finn (record producer who has worked on albums by popular <bands> like blink-182, Alkaline Trio, MxPx, Rancid and The Offspring)
band-n	... by "band-n"	back-v	backed by a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.sx	a10.s1	1282440792	He's backed here by his new <band> The Long Lost Brothers, which features some of Melbourne's best indie musicians, but if you ever rated H&C, then this fine hour-long set, which is topped up with three of the best tracks from Jack's first solo CD (originally released in 2000), sure won't disappoint you.
band-n	... by "band-n"	concert-n	concert by the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	244048202	A splendid concert by the Municipal <band> and solos by well-known singers will divide the time with the speakers.
band-n	... by "band-n"	music-n	music by bands	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.sx	a10.s1	2624362372	Well, say you had a number of Foo Fighters records in your playlist, and you had set your preferences to grab any new music by the <band> that was put online.
band-n	... by "band-n"	performance-n	performance by the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	384548930	However, it was decided from the onset that these songs would benefit most from inspired performances by a real <band>.
band-n	... by "band-n"	song-n	song by a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	157023258	Grohl performed solo, acoustic versions of songs by his other famous <band>, Foo Fighters: "Learn To Fly" and "Times Like These."
band-n	... for "band-n"	drummer-n	drummer for the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2229363053	Since Eddy's move from drums to vocals, Triple 6 Poser have been looking for a permanent drummer for the <band>.
band-n	... for "band-n"	singer-n	singer for the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2650039987	My friend Scott Long, lead singer for a <band> called the Frontier Fucking Wives, always used to tell his audiences Don't forget to tip your bartenders and servers, they're the hardest working people in Rock n' Roll .
band-n	... from "band-n"	album-n	album from a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	447396061	I prefer the earlier albums from this <band>; the albums from "In Search Of Space" thru "Warrior On The Edge Of Time."
band-n	... from "band-n"	entertainment-n	entertainment from bands	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	3213182804	Dinner is followed by entertainment from a live <band> before the DJ takes over to carry this exotic Christmas party into the night.
